steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	cumulative_steps	n_updates	rlen
780524	396	81707.72930121422	30.666666666666668	38.0	14.46835627614047	40.0	14.0	1.7483056	0.050481162257492544	780524	193879	300000
796524	404	83395.18266820908	28.0	31.0	8.888194417315589	35.0	18.0	1.8046196	0.05537454131990671	796524	197879	300000
810524	411	84996.58434176445	38.0	39.0	13.527749258468683	51.0	24.0	1.9174346	0.05510210396721959	810524	201379	300000
826524	419	86741.08124423027	26.0	27.0	10.535653752852738	36.0	15.0	1.9460661	0.05370353432372212	826524	205379	300000
840524	426	88321.6001572609	40.0	45.0	17.05872210923198	54.0	21.0	1.9276888	0.05319498082622886	840524	208879	300000
856524	434	90077.24415040016	45.333333333333336	45.0	1.5275252316519465	47.0	44.0	1.9407666	0.05195530105382204	856524	212879	300000
870524	441	91657.46574950218	44.666666666666664	47.0	6.8068592855540455	50.0	37.0	1.9676111	0.05423292314633727	870524	216379	300000
885996	449	93375.83185815811	41.0	40.0	3.605551275463989	45.0	38.0	1.9659773	0.05053160278126598	885996	220247	300000
901993	457	95085.17380523682	36.333333333333336	28.0	16.19670748434179	55.0	26.0	1.9626139	0.047388889845460656	901993	224246	300000
915993	464	96694.68833994865	52.0	50.0	8.18535277187245	61.0	45.0	2.0091004	0.05623636808246374	915993	227746	300000
931852	472	98478.51489758492	39.666666666666664	34.0	9.814954576223638	51.0	34.0	1.9907056	0.05023799926042557	931852	231711	300000
945852	479	100109.31935715675	48.333333333333336	49.0	5.033222956847167	53.0	43.0	1.9647957	0.0502677384391427	945852	235211	300000
961852	487	101943.76586961746	58.333333333333336	59.0	4.041451884327381	62.0	54.0	2.0501206	0.055547252260148526	961852	239211	300000
975852	494	103686.58577275276	37.666666666666664	35.0	4.618802153517006	43.0	35.0	2.0778599	0.05355536300688982	975852	242711	300000
991292	502	105578.28572392464	50.666666666666664	51.0	8.504900548115382	59.0	42.0	2.1317954	0.05468090157955885	991292	246571	300000
1005292	509	107295.65767717361	43.0	39.0	9.643650760992955	54.0	36.0	2.206262	0.0607789452560246	1005292	250071	300000
1021252	517	109073.0750169754	37.666666666666664	38.0	8.504900548115382	46.0	29.0	2.277047	0.062463867887854574	1021252	254061	300000
1035252	524	110741.55143356323	45.0	44.0	12.529964086141668	58.0	33.0	2.2532744	0.0590257571823895	1035252	257561	300000
1050473	532	112507.75831365585	51.666666666666664	52.0	11.50362261782493	63.0	40.0	2.326247	0.04992869814857841	1050473	261366	300000
1065799	540	114247.49683046341	57.0	56.0	5.5677643628300215	63.0	52.0	2.2286484	0.0498533046245575	1065799	265197	300000
1081670	548	116078.75771069527	60.0	63.0	6.082762530298219	64.0	53.0	2.3075182	0.06442946825176478	1081670	269165	300000
1095370	556	117767.77485752106	48.666666666666664	48.0	3.0550504633038935	52.0	46.0	2.3900855	0.058085025064647196	1095370	272590	300000
1111301	564	119627.59391522408	45.0	40.0	11.357816691600547	58.0	37.0	2.382855	0.0555132969841361	1111301	276573	300000
1125301	571	121311.73887705803	54.666666666666664	60.0	11.930353445448855	63.0	41.0	2.3872375	0.0559129605256021	1125301	280073	300000
1140985	579	123162.42251729965	47.666666666666664	53.0	17.61628034896508	62.0	28.0	2.4786668	0.06228854615241289	1140985	283994	300000
1155519	587	124886.49908852577	50.0	62.0	22.538855339169288	64.0	24.0	2.4801188	0.06568246357142925	1155519	287627	300000
1171347	595	126751.30997824669	53.333333333333336	57.0	10.969655114602888	62.0	41.0	2.4669588	0.0613057173602283	1171347	291584	300000
1185347	602	128452.81043815613	42.333333333333336	46.0	13.868429375143146	54.0	27.0	2.4805243	0.061991931255906824	1185347	295084	300000
1200969	611	130340.80671358109	37.0	39.0	8.18535277187245	44.0	28.0	2.5401473	0.07059838155284524	1200969	298990	300000
1216866	619	132219.82668328285	50.666666666666664	56.0	10.115993936995679	57.0	39.0	2.5593164	0.06504819905385376	1216866	302964	300000
1230398	626	133859.770840168	40.0	35.0	16.09347693943108	58.0	27.0	2.6273036	0.06018609458580613	1230398	306347	300000
1246080	634	135698.6791074276	53.0	64.0	19.05255888325765	64.0	31.0	2.6735349	0.05650145877152681	1246080	310268	300000
1261940	642	137598.21451973915	46.0	52.0	12.165525060596439	54.0	32.0	2.5931563	0.06357989877462387	1261940	314233	300000
1275775	649	139337.07928943634	63.0	64.0	1.7320508075688772	64.0	61.0	2.621315	0.05852536441758275	1275775	317691	300000
1291775	657	141189.04339146614	46.666666666666664	45.0	16.563010998406458	64.0	31.0	2.6209977	0.06260601056739688	1291775	321691	300000
1305224	664	142869.35610556602	56.666666666666664	55.0	3.7859388972001824	61.0	54.0	2.6293087	0.05910169504582882	1305224	325054	300000
1321224	672	144798.11007642746	44.0	42.0	15.0996688705415	60.0	30.0	2.7318208	0.06278599593788385	1321224	329054	300000
1335065	679	146537.9015660286	50.666666666666664	47.0	10.016652800877813	62.0	43.0	2.7647164	0.06269455913454294	1335065	332514	300000
1351091	688	148442.5187842846	35.333333333333336	37.0	3.7859388972001824	38.0	31.0	2.6838295	0.06491666279733181	1351091	336520	300000
1365266	696	150238.98862338066	34.0	34.0	9.0	43.0	25.0	2.706303	0.06086775029078126	1365266	340064	300000
1380942	704	152154.63336396217	54.666666666666664	51.0	8.144527815247077	64.0	49.0	2.7113242	0.06251802643761038	1380942	343983	300000
1396817	712	154044.8589067459	51.333333333333336	46.0	11.015141094572204	64.0	44.0	2.7302587	0.06055188044905663	1396817	347952	300000
1410799	719	155777.81149172783	43.0	42.0	1.7320508075688772	45.0	42.0	2.6993418	0.06033934783190489	1410799	351447	300000
1426408	727	157683.0286910534	44.333333333333336	46.0	6.658328118479393	50.0	37.0	2.7395864	0.05325921423733235	1426408	355350	300000
